college_code,college name
6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY
5117,Pallavan College of Engineering
5101,Adhiparasakthi College of Engineering
6202,Annai mathammal sheela Engineering college
5113,KINGSTON ENGINEERING COLLEGE
4129,VI INSTITUTE OF TECHNOLOGY
4204,ADHIPARASAKTHI ENGINEERING COLLEGE
5132,THIRUMALAI ENGINEERING COLLEGE
5124,SARASWATHI VELU COLLEGE OF ENGINEERING
4224,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM"
6215,MAHENDRA COLLEGE OF ENGINEERING
6233,VETRI VINAYAHA COLLEGE OF ENGINEERING AND TECHNOLOGY
6208,GNANAMANI COLLEGE OF TECHNOLOGY
4119,SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING
5122,S.K.P. ENGINEERING COLLEGE
6225,SELVAM COLLEGE OF TECHNOLOGY
5115,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY
4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY
5102,ANNAMALAIAR COLLEGE OF ENGINEERING
5114,OXFORD COLLEGE OF ENGINEERING
5110,J E I MATHAAJEE COLLEGE OF ENGINEERING
5118,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY
5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE
5106,C. Abdul Hakeem college of engineering and technology
6110,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
4216,Mailam engineering college
6102,ANNAPOORANA ENGINEERING COLLEGE
6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN
5135,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY
5137,MMES ACADEMY OF ARCHITECTURE
6117,NARASU'S SARATHY INSTITUTE OF TECHNOLOGY
6126,THE KAVERY COLLEGE OF ENGINEERING
5133,University College of Engineering ARNI
6127,THE KAVERY ENGINEERING COLLEGE
6112,KNOWLEDGE INSTITUTE OF TECHNOLOGY
6205,CMS COLLEGE OF ENGINEERING
6207,GNANAMANI COLLEGE OF ENGINEERING
6231,VSA GROUP OF INSTITUTIONS
6203,Bharathiyar Institute of engineering for women
6124,Shree Sathyam College of Engineering and Technology
6226,SHREENIVASA ENGINEERING COLLEGE
6236,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY
6227,SRG ENGINEERING COLLEGE
6217,Muthayammal College of Engineering
6220,PAAVAI COLLEGE OF ENGINEERING
4212,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY
6115,Mahindra Institute of Engineering & Technology
6206,Ganesh College of Engineering
6135,"Government College of Engineering, Dharmapuri"
5109,Global Institute of Engineering and Technology
4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY
6201,AVS Engineering College
4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING
5127,SRI BALAJI CHOCKALINGAM ENGINEERING COLLEGE
5126,SREE KRISHNA COLLEGE OF ENGINEERING
5105,Bharathidasan Engineering College
6105,Dhirajlal Gandhi College of Technology
6218,PGP COLLEGE OF ENGINEERING AND TECHNOLOGY
5104,Arunai Engineering College
6224,SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY
6118,P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY
4208,Chendu College of Engineering and Technology
5131,THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY
6222,PAVAI COLLEGE OF TECHNOLOGY
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING
6235,AVS COLLEGE OF TECHNOLOGY
5121,RANIPPETTAI ENGINEERING COLLEGE
6230,Tagore Institute of Engineering and Technology
5119,Priyadarshi Engineering college
6120,SAPTHAGIRI COLLEGE OF ENGINEERING
6109,JAYALAKSHMI INSTITUTE OF TECHNOLOGY
5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING